wals_code,iso_code,glottocode,Name,latitude,longitude,genus,family,macroarea,countrycodes,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,26A Prefixing vs. Suffixing in Inflectional Morphology,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,25B Zero Marking of A and P Arguments,21B Exponence of Tense-Aspect-Mood Inflection
som,som,soma1255,Somali,3,45,Lowland East Cushitic,Afro-Asiatic,Africa,SO,5 Tonal/concatenative,3 Case + referentiality,2 2-3 categories per word,4 No marking,,5 Inconsistent or other,2 Strongly suffixing,1 Productive full and partial reduplication,,,2 Non-zero marking,3 TAM+agreement+diathesis
wly,wal,wola1242,Wolaytta,6.833333333,37.75,North Omotic,Afro-Asiatic,Africa,ET,,,,,,,2 Strongly suffixing,,,,,
amh,amh,amha1245,Amharic,10,38,Semitic,Afro-Asiatic,Africa,ET,,,,,,,3 Weakly suffixing,1 Productive full and partial reduplication,,,,
ams,arb,stan1318,Arabic (Modern Standard),25,42,Semitic,Afro-Asiatic,Eurasia,LB QA KW SO KM YE PS JO ER SA IQ SY OM AE LY BH IL MA DZ EG SD TN,6 Ablaut/concatenative,3 Case + referentiality,,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,,4 No syncretism,2 Syncretic,2 Non-zero marking,3 TAM+agreement+diathesis
aeg,arz,egyp1253,Arabic (Egyptian),30,31,Semitic,Afro-Asiatic,Africa,EG,6 Ablaut/concatenative,5 No case,4 6-7 categories per word,4 No marking,4 No marking,5 Inconsistent or other,3 Weakly suffixing,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,2 Non-zero marking,3 TAM+agreement+diathesis
heb,heb,hebr1245,Hebrew (Modern),31.5,34.83333333,Semitic,Afro-Asiatic,Eurasia,IL,6 Ablaut/concatenative,5 No case,3 4-5 categories per word,2 Dependent marking,2 Dependent marking,5 Inconsistent or other,3 Weakly suffixing,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,2 Non-zero marking,3 TAM+agreement+diathesis
cre,crk,plai1258,Cree (Plains),54,-110,Algonquian,Algic,North America,CA,7 Isolating/concatenative,3 Case + referentiality,4 6-7 categories per word,1 Head marking,1 Head marking,1 Head-marking,4 Equal prefixing and suffixing,1 Productive full and partial reduplication,1 No case marking,3 Not syncretic,2 Non-zero marking,1 monoexponential TAM
tur,tur,nucl1301,Turkish,39,35,Turkic,Altaic,Eurasia,TR,1 Exclusively concatenative,1 Monoexponential case,4 6-7 categories per word,2 Dependent marking,3 Double marking,5 Inconsistent or other,2 Strongly suffixing,1 Productive full and partial reduplication,4 No syncretism,3 Not syncretic,2 Non-zero marking,1 monoexponential TAM
,wbm,nucl1290,Wa,23.1,99.11,Palaung-Khmuic,Austro-Asiatic,Eurasia,CN MM,2 Exclusively isolating,5 No case,1 0-1 category per word,4 No marking,5 Other,5 Inconsistent or other,1 Little affixation,1 Productive full and partial reduplication,1 No case marking,1 No subject person/number marking,2 Non-zero marking,1 monoexponential TAM
vie,vie,viet1252,Vietnamese,10.5,106.5,Viet-Muong,Austro-Asiatic,Eurasia,VN,2 Exclusively isolating,5 No case,1 0-1 category per word,4 No marking,4 No marking,4 Zero-marking,1 Little affixation,1 Productive full and partial reduplication,1 No case marking,1 No subject person/number marking,1 Zero-marking,1 monoexponential TAM
mal,plt,plat1254,Malagasy,-20,47,Barito,Austronesian,Africa,MG,1 Exclusively concatenative,1 Monoexponential case,3 4-5 categories per word,2 Dependent marking,5 Other,5 Inconsistent or other,1 Little affixation,1 Productive full and partial reduplication,1 No case marking,3 Not syncretic,2 Non-zero marking,1 monoexponential TAM
ceb,ceb,cebu1242,Cebuano,10,124,Greater Central Philippine,Austronesian,Papunesia,PH,,,,,,,,,,,,
tag,tgl,taga1270,Tagalog,15,121,Greater Central Philippine,Austronesian,Papunesia,PH,1 Exclusively concatenative,3 Case + referentiality,2 2-3 categories per word,3 Double marking,5 Other,5 Inconsistent or other,1 Little affixation,1 Productive full and partial reduplication,1 No case marking,1 No subject person/number marking,2 Non-zero marking,1 monoexponential TAM
ind,ind,indo1316,Indonesian,0,106,Malayo-Sumbawan,Austronesian,Papunesia,ID,2 Exclusively isolating,5 No case,3 4-5 categories per word,4 No marking,4 No marking,4 Zero-marking,2 Strongly suffixing,2 Full reduplication only,1 No case marking,1 No subject person/number marking,1 Zero-marking,1 monoexponential TAM
msh,mah,mars1254,Marshallese,7.116666667,171.05,Oceanic,Austronesian,Papunesia,MH,,,,,,,,1 Productive full and partial reduplication,,,,
mao,mri,maor1246,Maori,-40,176,Oceanic,Austronesian,Papunesia,NZ,7 Isolating/concatenative,1 Monoexponential case,1 0-1 category per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,1 Little affixation,1 Productive full and partial reduplication,1 No case marking,1 No subject person/number marking,2 Non-zero marking,1 monoexponential TAM
aym,ayr,cent2142,Aymara (Central),-17,-69,Aymaran,Aymaran,South America,PE CL BO,1 Exclusively concatenative,1 Monoexponential case,5 8-9 categories per word,3 Double marking,3 Double marking,3 Double-marking,2 Strongly suffixing,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,2 Non-zero marking,2 TAM+agreement
tel,tel,telu1262,Telugu,16,79,South-Central Dravidian,Dravidian,Eurasia,IN,,,,,,,2 Strongly suffixing,,,,,
knd,kan,nucl1305,Kannada,14,76,Southern Dravidian,Dravidian,Eurasia,IN,1 Exclusively concatenative,1 Monoexponential case,2 2-3 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,1 Productive full and partial reduplication,4 No syncretism,2 Syncretic,2 Non-zero marking,1 monoexponential TAM
mym,mal,mala1464,Malayalam,10,76.5,Southern Dravidian,Dravidian,Eurasia,IN,,,,,,,,2 Full reduplication only,,,,
,esk,nort2945,Iñupiaq,64.78,-161,Eskimo,Eskimo-Aleut,North America,US,1 Exclusively concatenative,2 Case + number,3 4-5 categories per word,3 Double marking,3 Double marking,3 Double-marking,2 Strongly suffixing,3 No productive reduplication,2 Core cases only,3 Not syncretic,2 Non-zero marking,
ysl,ess,cent2128,Yupik (St. Lawrence Island),63.5,-170.5,Eskimo,Eskimo-Aleut,Eurasia,US,1 Exclusively concatenative,2 Case + number,3 4-5 categories per word,3 Double marking,3 Double marking,3 Double-marking,2 Strongly suffixing,3 No productive reduplication,2 Core cases only,3 Not syncretic,2 Non-zero marking,
ypk,esu,cent2127,Yup'ik (Central),59.5,-160,Eskimo,Eskimo-Aleut,North America,US,1 Exclusively concatenative,2 Case + number,3 4-5 categories per word,3 Double marking,3 Double marking,3 Double-marking,2 Strongly suffixing,3 No productive reduplication,2 Core cases only,3 Not syncretic,2 Non-zero marking,
iql,ike,east2534,Inuktitut (Quebec-Labrador),62,-73,Eskimo,Eskimo-Aleut,North America,CA,,,,,,,,,,,,
,ikt,west2618,Inuktitut (Western Canadian),64.35,-96.15,Eskimo,Eskimo-Aleut,North America,CA,,,,,,,,,,,,
grw,kal,kala1399,Greenlandic (West),64,-51,Eskimo,Eskimo-Aleut,Eurasia,GL,1 Exclusively concatenative,2 Case + number,3 4-5 categories per word,3 Double marking,3 Double marking,3 Double-marking,2 Strongly suffixing,3 No productive reduplication,2 Core cases only,3 Not syncretic,2 Non-zero marking,1 monoexponential TAM
tob,tob,toba1269,Toba,-26.5,-59,South Guaicuruan,Guaicuruan,South America,AR,,,,,,,4 Equal prefixing and suffixing,,,,,
alb,aln,gheg1238,Albanian,41,20,Albanian,Indo-European,Eurasia,AL RS,1 Exclusively concatenative,,3 4-5 categories per word,2 Dependent marking,,,2 Strongly suffixing,,3 Core and non-core,2 Syncretic,2 Non-zero marking,3 TAM+agreement+diathesis
alb,als,tosk1239,Albanian,41,20,Albanian,Indo-European,Eurasia,AL RS,1 Exclusively concatenative,,3 4-5 categories per word,2 Dependent marking,,,2 Strongly suffixing,,3 Core and non-core,2 Syncretic,2 Non-zero marking,3 TAM+agreement+diathesis
lit,lit,lith1251,Lithuanian,55,24,Baltic,Indo-European,Eurasia,LT,1 Exclusively concatenative,2 Case + number,3 4-5 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,3 No productive reduplication,,2 Syncretic,2 Non-zero marking,2 TAM+agreement
wel,cym,wels1247,Welsh,52,-3,Celtic,Indo-European,Eurasia,GB,1 Exclusively concatenative,5 No case,2 2-3 categories per word,4 No marking,4 No marking,4 Zero-marking,2 Strongly suffixing,3 No productive reduplication,1 No case marking,,1 Zero-marking,2 TAM+agreement
afr,afr,afri1274,Afrikaans,-31,22,Germanic,Indo-European,Africa,ZA,1 Exclusively concatenative,5 No case,1 0-1 category per word,4 No marking,2 Dependent marking,5 Inconsistent or other,,3 No productive reduplication,1 No case marking,1 No subject person/number marking,2 Non-zero marking,1 monoexponential TAM
dsh,dan,dani1285,Danish,56,10,Germanic,Indo-European,Eurasia,DK,6 Ablaut/concatenative,5 No case,2 2-3 categories per word,4 No marking,2 Dependent marking,5 Inconsistent or other,2 Strongly suffixing,3 No productive reduplication,4 No syncretism,,2 Non-zero marking,1 monoexponential TAM
ger,deu,stan1295,German,52,10,Germanic,Indo-European,Eurasia,AT DE CH,6 Ablaut/concatenative,2 Case + number,2 2-3 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,3 No productive reduplication,3 Core and non-core,2 Syncretic,2 Non-zero marking,2 TAM+agreement
eng,eng,stan1293,English,52,0,Germanic,Indo-European,Eurasia,GB IE,6 Ablaut/concatenative,5 No case,2 2-3 categories per word,4 No marking,2 Dependent marking,5 Inconsistent or other,2 Strongly suffixing,3 No productive reduplication,2 Core cases only,2 Syncretic,2 Non-zero marking,1 monoexponential TAM
ice,isl,icel1247,Icelandic,65,-17,Germanic,Indo-European,Eurasia,IS,,,,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,,,,2 Non-zero marking,
dut,nld,dutc1256,Dutch,52.5,6,Germanic,Indo-European,Eurasia,NL,6 Ablaut/concatenative,5 No case,2 2-3 categories per word,4 No marking,,5 Inconsistent or other,2 Strongly suffixing,3 No productive reduplication,,2 Syncretic,2 Non-zero marking,2 TAM+agreement
nor,nob,norw1259,Norwegian,61,8,Germanic,Indo-European,Eurasia,NO,,,,,,,2 Strongly suffixing,,,,,
swe,swe,swed1254,Swedish,60,15,Germanic,Indo-European,Eurasia,SE FI,,,,,,,2 Strongly suffixing,,,,,
grk,ell,mode1248,Greek (Modern),39,22,Greek,Indo-European,Eurasia,GR,1 Exclusively concatenative,2 Case + number,3 4-5 categories per word,3 Double marking,3 Double marking,3 Double-marking,2 Strongly suffixing,3 No productive reduplication,3 Core and non-core,3 Not syncretic,2 Non-zero marking,3 TAM+agreement+diathesis
ben,ben,beng1280,Bengali,24,90,Indic,Indo-European,Eurasia,BD IN,6 Ablaut/concatenative,1 Monoexponential case,3 4-5 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,1 Productive full and partial reduplication,4 No syncretism,2 Syncretic,2 Non-zero marking,2 TAM+agreement
guj,guj,guja1252,Gujarati,23,72,Indic,Indo-European,Eurasia,IN,,,,,,,,,,,,
hin,hin,hind1269,Hindi,25,77,Indic,Indo-European,Eurasia,IN,1 Exclusively concatenative,1 Monoexponential case,2 2-3 categories per word,3 Double marking,2 Dependent marking,5 Inconsistent or other,2 Strongly suffixing,1 Productive full and partial reduplication,3 Core and non-core,2 Syncretic,2 Non-zero marking,2 TAM+agreement
